Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,HasMortgage,HasDependents,HasCoSigner,Default,EmploymentType_Part-time,EmploymentType_Self-employed,EmploymentType_Unemployed,MaritalStatus_Married,MaritalStatus_Single,LoanPurpose_Business,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other
49,57647,213312,546,97,1,19.93,12,0.28,3,1,0,0,0,False,False,True,True,False,False,False,True,False
52,63204,67118,774,76,4,23.25,36,0.86,3,1,1,1,0,True,False,False,False,False,False,True,False,False
31,107081,153561,319,101,4,16.2,24,0.84,1,0,1,0,0,False,False,False,True,False,False,False,True,False
29,70109,199129,806,25,1,20.41,60,0.88,0,1,0,1,0,True,False,False,False,False,False,False,False,True
60,141434,197382,442,82,3,20.72,12,0.38,3,0,1,0,0,True,False,False,False,False,True,False,False,False
68,68722,22814,757,116,4,14.83,24,0.56,3,1,0,1,0,False,False,True,True,False,False,False,False,True
56,119793,203045,661,19,3,13.05,36,0.4,3,1,0,0,0,True,False,False,True,False,False,False,True,False
33,41920,38226,782,107,2,10.14,48,0.53,2,1,0,0,0,False,False,True,False,True,True,False,False,False
26,134482,120153,663,53,4,7.8,60,0.52,0,0,0,0,0,False,False,False,True,False,False,False,True,False
51,56423,72151,394,91,3,5.42,12,0.54,3,1,0,0,0,True,False,False,True,False,False,False,False,False
22,136040,223519,646,75,3,21.96,36,0.16,3,1,0,0,0,False,True,False,False,True,False,False,True,False
34,89400,11362,720,81,1,4.77,60,0.88,2,1,0,0,0,False,True,False,True,False,False,False,True,False
24,107150,172619,673,70,3,6.62,36,0.62,3,0,1,0,1,False,False,False,True,False,False,False,False,False
61,128602,88848,685,57,1,22.04,24,0.3,3,1,1,1,0,False,True,False,True,False,False,False,False,True
29,111703,100935,664,113,1,21.97,24,0.31,3,1,0,1,0,False,True,False,False,True,False,False,False,True
27,43242,100299,301,32,1,8.73,24,0.13,3,0,0,0,1,False,False,True,True,False,False,False,True,False
53,66408,167185,528,20,3,23.61,24,0.5,2,1,1,0,0,False,False,False,False,True,False,True,False,False
45,29363,212884,435,71,1,10.28,24,0.13,3,1,1,0,0,True,False,False,True,False,False,True,False,False
69,84683,32906,334,113,4,12.54,24,0.15,1,0,1,1,1,False,True,False,True,False,False,True,False,False
61,44870,72935,578,86,4,4.28,60,0.58,3,1,1,1,0,True,False,False,False,False,True,False,False,False
55,40049,45141,839,16,3,23.72,48,0.61,1,1,0,1,0,False,False,False,False,False,True,False,False,False
36,16462,148982,761,100,4,9.78,24,0.29,0,1,1,1,0,False,True,False,False,False,True,False,False,False
26,139285,174955,346,14,3,16.73,48,0.69,1,0,1,0,1,True,False,False,False,False,False,False,False,False
42,132219,219007,546,67,4,2.1,48,0.49,1,0,0,0,0,False,False,True,False,False,False,False,True,False
34,54423,113935,543,97,1,24.56,36,0.82,3,1,0,0,0,True,False,False,True,False,False,True,False,False
50,135033,108115,592,114,2,16.48,60,0.45,0,0,1,1,0,False,True,False,True,False,False,False,True,False
42,74573,157076,447,73,4,22.87,60,0.18,3,0,0,1,0,False,False,True,False,False,False,True,False,False
69,107499,236571,494,60,3,5.35,36,0.13,1,0,0,1,1,False,True,False,False,False,True,False,False,False
55,20255,202037,301,51,4,13.54,48,0.31,3,0,1,1,1,True,False,False,False,False,True,False,False,False
50,129361,11978,431,27,2,5.54,24,0.39,0,0,0,1,0,True,False,False,True,False,True,False,False,False
23,109471,55341,380,28,1,23.51,12,0.25,1,0,1,0,1,False,False,False,False,False,False,False,False,False
31,52022,53239,594,45,3,3.69,36,0.18,1,1,0,1,0,False,True,False,False,False,False,True,False,False
25,62517,228421,716,9,2,6.63,60,0.17,2,1,0,0,0,False,False,False,False,True,False,False,False,False
56,57622,202527,371,95,2,19.51,48,0.75,1,1,0,0,0,True,False,False,True,False,False,False,False,True
59,42623,124878,372,97,2,19.68,48,0.37,2,0,0,1,0,False,False,True,False,True,True,False,False,False
36,43096,102031,692,111,3,17.88,24,0.16,1,1,1,0,1,False,False,True,False,True,False,True,False,False
45,35338,187795,354,67,3,10.25,48,0.3,0,1,1,0,0,False,False,True,False,True,False,True,False,False
22,33997,246783,468,77,1,11.25,24,0.76,1,1,1,0,0,False,True,False,False,False,False,False,False,False
28,18188,160568,325,116,1,20.04,24,0.63,0,0,0,1,1,False,True,False,True,False,False,False,True,False
61,31340,183967,434,109,3,8.38,48,0.22,2,1,1,0,0,True,False,False,False,False,False,True,False,False
26,83324,119157,824,102,3,3.97,36,0.57,2,0,1,1,0,False,False,True,True,False,False,False,False,False
37,68765,15317,721,8,4,24.65,48,0.64,2,0,0,0,1,False,False,True,False,False,False,True,False,False
24,35399,136148,540,99,3,2.7,36,0.67,0,0,0,1,0,False,False,True,False,False,False,True,False,False
32,106677,176463,747,80,1,5.75,48,0.42,0,1,0,0,0,False,True,False,False,False,False,False,True,False
60,76085,154734,440,72,1,21.81,48,0.15,2,1,0,1,0,False,False,True,False,False,False,False,False,True
55,66493,115954,497,71,1,22.22,24,0.33,1,0,1,0,0,False,False,False,True,False,False,True,False,False
27,124906,223824,685,6,2,8.63,24,0.37,2,0,0,0,0,True,False,False,False,False,False,False,False,False
19,123492,98317,605,34,1,13.86,24,0.14,2,0,0,1,0,False,True,False,False,True,False,False,False,False
60,66630,170057,648,10,3,16.94,12,0.35,1,0,0,1,0,False,True,False,False,False,True,False,False,False
64,53393,195551,559,25,2,17.82,60,0.67,1,0,0,0,0,False,True,False,False,False,False,True,False,False
24,121151,155345,529,24,1,21.78,12,0.72,1,1,1,0,0,False,True,False,False,True,True,False,False,False
54,33904,229986,302,15,1,8.27,48,0.58,2,0,0,1,0,False,False,False,False,True,False,False,False,True
42,37266,238532,827,117,2,23.15,60,0.2,0,1,1,1,0,False,False,False,False,True,False,False,True,False
45,139119,172665,634,2,3,12.71,48,0.55,0,1,1,0,1,False,False,False,True,False,False,False,True,False
28,52728,97175,819,56,1,24.52,12,0.29,3,1,0,0,0,False,False,True,False,False,True,False,False,False
36,148147,248847,458,41,4,10.83,48,0.11,2,0,1,0,0,False,True,False,False,False,False,False,True,False
69,104259,101224,407,97,1,19.42,60,0.67,0,1,1,1,0,False,False,False,False,True,True,False,False,False
25,131154,33889,752,39,2,4.32,48,0.71,1,1,1,0,0,False,False,True,False,False,True,False,False,False
43,126081,103855,834,93,2,18.0,48,0.24,1,0,1,1,0,True,False,False,True,False,False,False,False,False
69,32450,206730,518,26,2,14.38,24,0.62,1,0,0,1,0,False,True,False,False,True,True,False,False,False
22,125741,237179,451,81,3,13.3,24,0.58,3,1,0,1,1,False,False,False,False,False,True,False,False,False
43,138464,29509,600,50,3,8.17,60,0.48,1,1,0,0,0,False,False,True,False,False,False,False,False,False
24,104247,10989,779,112,3,14.61,12,0.62,2,1,1,1,0,True,False,False,False,True,False,False,False,False
32,97775,101039,365,6,4,24.9,24,0.69,0,1,0,0,1,False,True,False,True,False,False,False,False,False
21,74688,25240,746,117,4,14.77,48,0.26,2,0,1,1,0,True,False,False,True,False,False,False,False,True
27,134283,172019,325,94,3,18.18,12,0.51,3,0,1,1,0,True,False,False,False,True,False,True,False,False
48,110839,96224,600,36,4,3.42,48,0.4,1,0,0,0,0,False,True,False,False,False,False,False,True,False
58,49744,98661,789,49,3,8.8,60,0.56,0,1,0,1,0,False,False,True,False,False,False,False,True,False
69,130678,81252,346,90,2,2.13,24,0.64,0,0,1,1,0,False,False,True,False,False,False,False,True,False
47,101779,211297,354,46,4,22.36,12,0.36,2,1,0,0,0,False,False,False,False,False,True,False,False,False
30,140934,19998,482,63,1,14.43,12,0.7,0,1,0,1,0,False,False,False,False,False,False,False,False,False
58,74884,85031,758,80,4,7.83,48,0.33,1,0,0,0,0,False,False,True,False,False,False,False,False,True
35,57601,95519,334,23,1,5.43,36,0.8,3,1,1,0,0,True,False,False,True,False,False,False,True,False
25,53278,152370,527,99,3,21.88,48,0.55,2,1,1,0,0,True,False,False,False,True,False,True,False,False
36,119737,22949,491,21,4,13.27,24,0.46,2,1,1,0,0,False,False,False,False,True,False,False,False,False
30,113406,148245,688,30,2,20.4,12,0.48,1,1,0,1,0,False,False,True,False,False,True,False,False,False
33,114866,94365,371,71,3,3.06,12,0.1,0,0,0,0,0,False,False,False,True,False,True,False,False,False
62,81412,157996,804,76,4,4.26,12,0.67,2,1,1,0,0,False,False,False,True,False,False,False,False,True
24,22516,85023,465,22,2,18.97,36,0.85,2,1,1,1,1,False,True,False,False,True,False,False,True,False
44,38490,128348,667,61,4,24.76,48,0.56,2,1,1,1,0,True,False,False,False,False,False,False,True,False
55,104888,112428,824,94,1,17.04,12,0.59,1,1,0,1,0,False,False,False,False,True,False,False,False,False
31,85338,63769,594,8,3,17.67,24,0.5,1,0,1,1,0,False,False,True,False,False,False,False,False,True
67,96131,200855,501,69,2,9.87,36,0.21,0,1,1,1,0,False,True,False,True,False,False,False,False,True
50,62195,121566,621,27,4,19.55,24,0.39,2,1,0,1,0,False,True,False,False,False,False,False,False,False
51,102434,248243,732,15,1,20.18,24,0.48,0,0,0,0,0,False,True,False,False,True,False,False,True,False
48,98318,64998,748,26,3,7.31,60,0.64,1,1,1,0,0,False,True,False,False,False,False,True,False,False
55,99986,74100,606,12,3,7.81,36,0.66,1,0,0,0,0,True,False,False,True,False,False,False,False,True
56,62702,22096,463,82,3,23.49,48,0.38,3,1,0,0,0,False,False,False,False,False,True,False,False,False
28,31776,174442,410,14,4,11.04,24,0.83,0,1,0,1,0,False,False,True,False,True,False,False,False,True
56,144808,189815,512,9,4,12.23,36,0.34,0,0,0,1,0,False,False,False,False,False,True,False,False,False
50,120611,183259,841,103,1,10.22,24,0.89,1,0,0,1,0,False,False,False,True,False,False,False,True,False
21,145725,81283,761,2,4,22.49,36,0.37,2,0,0,0,1,False,False,False,False,True,True,False,False,False
20,117235,173487,661,72,1,12.78,60,0.57,3,0,0,1,0,True,False,False,True,False,False,False,False,False
62,40296,105095,798,107,3,3.2,12,0.11,0,1,0,1,0,False,True,False,False,True,False,False,False,True
64,114284,146768,622,87,4,11.08,36,0.68,0,1,1,1,0,False,True,False,False,False,False,False,False,True
29,83861,121542,802,16,4,20.09,24,0.53,0,1,1,0,0,False,True,False,False,True,True,False,False,False
45,45650,106035,805,111,2,23.31,60,0.46,1,1,1,0,0,True,False,False,True,False,False,False,True,False
55,118702,248134,448,23,3,10.99,48,0.72,3,1,0,0,0,True,False,False,False,True,False,True,False,False
51,113439,164920,782,19,3,2.81,48,0.62,1,1,1,0,0,False,False,False,False,False,False,False,False,True
50,107470,234943,827,31,4,7.87,36,0.22,3,0,0,0,0,False,False,False,False,True,True,False,False,False
48,91394,158340,480,77,3,4.78,12,0.75,0,1,0,1,0,False,False,True,True,False,True,False,False,False
29,61516,41742,568,22,3,9.98,12,0.9,2,0,1,0,0,False,True,False,False,False,False,False,False,False
22,119061,64693,328,1,1,4.79,12,0.14,0,1,0,1,0,False,True,False,False,True,False,False,False,True
66,54834,216849,575,88,3,16.8,48,0.29,1,1,0,1,0,False,False,False,False,True,True,False,False,False
55,18636,225988,457,35,3,20.23,36,0.59,0,1,0,0,1,False,False,True,False,False,True,False,False,False
19,85684,174623,764,40,3,20.59,60,0.27,1,1,0,0,1,False,False,True,False,True,False,False,True,False
25,106237,215393,565,32,4,6.52,12,0.88,2,0,1,0,0,True,False,False,True,False,False,True,False,False
58,27136,18281,720,60,3,12.45,60,0.68,1,1,1,0,0,False,False,True,False,True,True,False,False,False
18,87680,243834,355,89,1,17.54,48,0.21,1,1,1,0,0,False,False,True,True,False,False,False,False,True
45,140565,181973,523,119,1,24.46,60,0.32,2,1,0,0,0,False,False,True,True,False,False,True,False,False
56,87269,53365,326,64,1,3.02,60,0.75,3,1,1,0,0,False,False,False,False,True,False,False,False,True
60,48028,202571,521,21,3,19.38,60,0.15,0,0,1,1,0,False,False,False,False,False,False,False,False,False
18,48479,234185,356,19,2,2.43,36,0.72,0,0,0,0,0,True,False,False,True,False,False,False,False,True
61,26355,139079,509,33,1,12.49,36,0.4,1,0,0,0,0,False,False,False,False,False,False,True,False,False
45,30905,142130,474,74,1,19.59,12,0.19,0,1,0,1,0,False,True,False,True,False,False,False,False,True
22,77503,63776,839,119,3,6.24,36,0.85,3,1,1,1,0,False,False,True,True,False,False,False,False,True
36,144336,96357,545,17,1,7.66,60,0.67,0,0,0,0,0,False,False,False,False,False,False,False,False,False
62,99980,41162,667,9,2,3.03,60,0.88,0,1,1,0,0,True,False,False,False,True,True,False,False,False
51,148558,59262,801,110,3,9.08,36,0.4,0,0,0,0,0,False,False,False,False,False,False,False,True,False
20,129737,59819,347,102,3,3.8,36,0.85,0,0,0,0,0,True,False,False,True,False,True,False,False,False
68,39154,241670,431,118,4,21.83,24,0.88,2,0,0,1,0,False,False,False,False,True,False,False,False,False
25,124246,129549,367,79,3,14.78,12,0.52,0,1,1,1,0,False,False,True,True,False,True,False,False,False
43,89199,149793,481,19,3,5.32,12,0.6,2,1,1,0,0,False,False,False,True,False,False,False,False,False
63,90321,121356,382,42,4,4.45,24,0.12,0,0,0,0,0,True,False,False,True,False,False,True,False,False
57,143746,164377,348,46,1,24.4,36,0.35,0,0,1,1,0,True,False,False,False,True,False,False,False,True
25,81069,47650,717,90,2,14.37,24,0.66,0,1,0,1,0,True,False,False,False,True,False,False,True,False
33,72198,217533,823,96,1,19.05,24,0.47,2,1,1,1,0,False,True,False,True,False,False,False,True,False
41,111114,96683,611,109,3,12.92,48,0.37,0,1,0,0,0,False,True,False,False,False,True,False,False,False
40,25639,28384,519,5,2,20.45,60,0.6,0,1,0,0,0,False,True,False,False,False,False,False,False,True
62,109508,172428,390,18,3,14.19,12,0.52,1,1,1,1,0,True,False,False,False,True,True,False,False,False
24,104236,209335,806,21,2,2.02,12,0.52,0,1,0,1,0,True,False,False,False,False,True,False,False,False
41,72330,101501,335,4,1,5.01,24,0.85,2,1,1,0,0,False,False,True,False,False,False,False,False,True
36,23278,221036,740,10,3,9.29,48,0.64,2,1,1,1,0,False,False,False,True,False,True,False,False,False
51,140549,86550,695,48,3,2.39,24,0.37,1,0,1,1,0,False,False,True,True,False,False,False,False,True
47,126770,186215,538,111,2,24.61,60,0.65,2,0,0,0,1,True,False,False,False,False,False,False,False,False
49,99548,129898,677,65,3,6.08,60,0.52,0,0,0,0,0,False,False,False,True,False,False,False,False,False
35,100188,9024,352,63,3,18.74,12,0.13,0,1,0,0,1,True,False,False,False,False,False,False,True,False
67,143027,140808,640,7,3,24.7,12,0.44,2,1,1,0,1,True,False,False,False,False,False,False,True,False
66,132462,185396,543,37,2,2.59,60,0.5,3,0,1,0,0,False,False,True,False,True,True,False,False,False
20,31124,145621,539,38,2,8.98,60,0.86,0,1,0,1,0,False,False,True,False,True,True,False,False,False
36,47576,213925,640,4,4,18.57,36,0.42,3,0,1,0,0,False,False,False,False,False,False,True,False,False
59,101906,227243,454,35,4,11.13,48,0.21,1,1,1,0,0,False,False,False,False,False,False,False,False,True
43,133871,168023,406,45,2,13.33,60,0.16,1,1,0,1,0,False,False,True,True,False,True,False,False,False
56,61752,65876,484,100,2,4.94,24,0.13,3,1,1,0,1,False,True,False,True,False,False,False,False,False
31,20353,160203,716,56,3,19.72,24,0.61,2,1,0,1,0,False,False,True,True,False,False,False,False,False
27,146602,184420,481,46,3,9.19,60,0.35,2,0,0,0,0,True,False,False,True,False,False,False,False,False
38,34044,206984,544,98,2,6.25,60,0.75,2,1,1,0,0,False,True,False,False,False,False,False,False,False
68,84459,17501,741,96,3,10.9,60,0.37,1,0,0,1,0,False,False,False,True,False,False,False,False,False
18,18752,162159,396,77,4,16.73,24,0.29,0,0,0,0,1,False,False,False,False,True,True,False,False,False
46,65117,32206,631,59,1,10.35,36,0.88,0,0,1,0,0,False,False,False,False,True,False,False,False,False
26,125919,137168,540,116,3,24.06,60,0.34,2,0,0,0,0,False,False,True,False,True,True,False,False,False
30,29161,22753,687,64,2,17.27,24,0.6,1,0,0,0,0,False,False,True,True,False,False,False,False,True
65,84270,206047,577,6,1,2.23,36,0.51,2,0,0,0,0,False,False,False,True,False,True,False,False,False
19,126116,107742,713,110,2,23.43,36,0.49,0,1,1,0,0,True,False,False,True,False,False,False,True,False
60,29555,63279,335,57,3,4.43,36,0.56,2,0,1,0,0,False,False,True,False,True,True,False,False,False
21,145274,182995,784,79,2,13.95,12,0.63,1,1,0,0,0,True,False,False,True,False,False,False,False,True
25,60928,142737,719,10,1,6.44,12,0.52,1,1,1,0,1,False,False,False,True,False,False,False,True,False
41,43320,201322,397,71,3,14.12,12,0.13,3,0,1,0,0,False,False,True,True,False,False,False,False,False
68,110442,226627,640,30,1,11.35,36,0.2,0,1,0,1,0,True,False,False,False,True,False,True,False,False
37,33642,48382,768,91,4,23.26,24,0.38,3,1,1,1,0,True,False,False,True,False,True,False,False,False
44,28481,18054,621,66,2,6.25,24,0.23,0,1,1,1,0,False,True,False,False,True,False,True,False,False
37,117172,26723,544,75,2,11.52,36,0.8,0,1,1,1,0,False,False,False,False,True,False,False,False,False
34,105442,54076,411,114,1,4.6,36,0.22,3,0,1,1,0,False,True,False,False,True,False,False,True,False
27,121801,7674,510,40,1,5.56,12,0.64,2,1,1,0,0,True,False,False,True,False,False,False,False,False
66,149293,89422,379,87,4,17.1,48,0.12,2,0,0,0,0,False,False,False,False,False,False,False,False,False
54,94098,138778,517,98,3,2.27,60,0.23,0,1,0,0,0,False,True,False,False,False,False,False,True,False
56,47580,106986,376,31,1,13.42,60,0.89,2,0,1,1,0,False,False,False,False,False,False,False,False,False
47,92265,67478,766,16,3,9.82,48,0.81,0,0,0,1,0,False,True,False,False,True,False,True,False,False
25,141786,229317,637,77,2,24.78,60,0.27,0,1,0,1,1,False,True,False,True,False,True,False,False,False
46,85435,182978,818,35,1,14.17,36,0.65,0,0,1,0,0,False,True,False,False,False,False,False,False,True
18,106263,126387,325,57,4,3.78,12,0.25,2,1,0,1,0,False,True,False,False,False,False,False,False,False
44,88882,217999,553,17,1,21.44,12,0.4,0,1,1,1,0,False,True,False,False,False,False,False,False,True
43,29707,184208,728,6,3,19.05,60,0.73,3,1,0,0,0,False,True,False,False,True,False,True,False,False
41,57149,66673,458,76,1,4.84,12,0.6,2,0,0,1,0,False,True,False,True,False,True,False,False,False
52,37522,153224,624,27,3,22.25,12,0.4,2,1,0,0,0,False,False,True,True,False,False,False,False,True
46,102348,74640,306,83,2,11.74,12,0.72,1,0,1,1,0,False,True,False,False,False,False,False,True,False
25,104109,105426,396,86,3,15.06,36,0.57,0,1,0,1,0,False,False,False,False,True,False,True,False,False
60,71367,89611,380,18,3,2.47,48,0.51,3,0,1,0,0,True,False,False,False,True,False,False,False,True
53,25163,157541,778,3,2,23.17,24,0.25,1,1,1,1,1,True,False,False,True,False,False,False,True,False
53,31752,210816,764,71,1,10.46,48,0.8,0,0,0,0,0,False,True,False,True,False,False,False,False,False
55,18036,239277,551,61,2,22.89,48,0.34,2,0,0,1,1,True,False,False,False,False,False,False,False,True
20,149889,121606,504,82,3,15.97,12,0.8,3,0,0,0,1,False,False,False,False,False,False,True,False,False
67,54360,190930,701,35,3,18.31,60,0.76,3,1,0,0,0,False,False,False,False,False,False,False,False,True
63,132034,188981,352,69,4,21.89,36,0.83,0,0,1,0,0,False,False,False,False,True,False,False,False,True
46,130089,155258,752,94,2,12.12,36,0.27,2,0,0,0,0,False,False,True,False,True,False,False,False,False
29,126958,81541,345,11,2,24.39,24,0.34,1,1,0,1,0,False,False,False,True,False,False,True,False,False
48,54446,181849,715,81,4,4.73,12,0.75,2,1,0,1,0,False,False,True,False,False,False,False,False,True
50,54426,237611,820,24,4,12.31,24,0.61,3,1,1,0,0,False,False,False,True,False,True,False,False,False
23,128038,117849,794,42,3,4.91,60,0.62,2,1,0,0,1,False,True,False,False,False,False,False,False,True
48,20843,121458,362,29,4,12.57,60,0.23,2,0,0,1,1,False,False,False,False,False,False,False,False,True
41,61049,100233,588,60,3,13.11,12,0.73,1,1,1,1,1,False,False,True,False,False,True,False,False,False
46,84800,26853,577,109,1,9.89,24,0.46,2,1,1,1,0,False,False,False,False,False,False,True,False,False
51,108044,155283,623,28,1,19.55,12,0.28,2,0,1,0,0,True,False,False,False,False,True,False,False,False
64,71236,56620,612,88,2,2.16,60,0.49,2,0,1,1,0,False,False,True,False,False,False,False,True,False
22,115700,116669,484,70,1,13.9,24,0.87,3,1,1,0,0,False,False,True,False,False,False,True,False,False
22,124142,9375,636,56,2,6.69,60,0.17,1,1,0,0,0,True,False,False,True,False,False,False,False,True
45,82241,9260,600,33,4,12.28,24,0.62,2,1,0,0,1,False,False,True,False,True,False,False,True,False
56,37064,220218,541,75,3,21.53,24,0.45,2,1,1,0,0,True,False,False,False,True,False,True,False,False
38,137833,173299,702,52,2,7.61,48,0.76,0,1,1,0,0,False,False,True,False,True,False,False,False,False
51,85298,185926,709,110,3,15.45,60,0.32,3,0,1,0,0,False,True,False,False,False,False,False,False,True
22,52599,162267,799,47,4,20.81,36,0.29,1,1,0,0,1,True,False,False,False,False,False,True,False,False
66,146350,163667,500,96,4,20.02,12,0.45,3,1,0,0,0,False,False,True,True,False,False,False,False,True
29,148988,208421,359,44,2,15.66,24,0.78,2,1,1,1,0,False,True,False,False,True,True,False,False,False
56,134615,246717,763,109,4,2.12,48,0.59,1,1,1,1,0,False,True,False,True,False,True,False,False,False
43,24191,162500,794,27,2,9.65,36,0.7,0,0,0,0,1,True,False,False,False,True,False,False,False,True
53,41706,146744,625,54,3,3.56,48,0.82,3,0,0,1,1,False,False,True,True,False,False,False,False,True
58,144377,91425,493,49,1,3.16,12,0.71,0,1,0,1,0,False,True,False,True,False,False,False,True,False
40,139693,87887,620,27,2,2.54,36,0.31,1,0,1,1,0,False,False,False,True,False,False,False,False,False
43,90473,107917,742,103,4,21.98,12,0.24,3,1,0,1,0,False,True,False,False,True,False,False,False,True
55,116052,48570,573,72,4,12.75,12,0.28,2,0,0,0,0,False,True,False,False,True,False,False,False,False
40,143016,157256,511,5,1,15.76,60,0.33,0,0,1,1,0,False,True,False,False,False,False,True,False,False
63,61870,212542,847,71,2,16.01,60,0.52,2,1,1,0,0,False,False,False,False,False,False,True,False,False
25,113694,197969,813,15,4,5.28,48,0.34,2,0,0,1,0,False,True,False,False,False,False,False,True,False
38,134178,193462,458,13,3,13.94,60,0.45,2,0,0,1,0,False,True,False,False,True,False,True,False,False
62,53670,155190,619,15,3,22.75,36,0.42,2,0,1,1,0,False,True,False,False,False,False,False,True,False
66,117302,121020,737,78,3,13.06,12,0.57,3,0,1,0,0,False,True,False,False,True,False,False,False,False
19,142567,182357,547,78,3,6.47,60,0.15,3,0,1,1,0,True,False,False,False,False,False,False,False,False
45,140667,51908,399,91,3,3.57,24,0.75,1,1,1,1,0,False,True,False,False,False,True,False,False,False
63,108482,146641,513,82,2,18.01,60,0.12,0,0,1,0,0,False,True,False,True,False,False,True,False,False
30,98748,37223,614,115,3,20.05,36,0.11,3,0,1,0,1,False,False,False,False,True,False,False,False,False
67,80927,63872,724,10,1,18.21,48,0.6,2,0,1,0,0,True,False,False,False,False,False,False,False,True
46,142256,55174,585,84,1,12.75,12,0.13,3,1,1,1,0,False,False,True,True,False,True,False,False,False
68,87274,131121,443,77,2,19.81,12,0.55,2,0,1,1,0,True,False,False,False,False,False,False,True,False
26,61759,94042,520,39,3,7.03,12,0.35,3,0,1,1,0,False,False,True,True,False,False,False,False,True
69,130988,65016,642,87,2,4.68,36,0.31,0,1,0,1,0,False,False,True,False,True,False,False,False,False
39,32168,207742,443,20,1,11.79,12,0.15,3,0,0,1,0,False,False,False,False,False,True,False,False,False
59,101823,61076,459,7,1,19.99,48,0.66,2,1,1,1,0,False,False,False,False,True,False,False,False,False
41,69014,230161,348,98,3,16.45,60,0.44,1,1,0,1,0,False,False,False,False,False,False,False,False,False
45,129092,219323,334,12,2,5.7,12,0.71,1,0,0,0,0,False,False,False,True,False,False,True,False,False
39,64099,36381,578,45,4,3.08,24,0.36,1,1,0,0,0,False,True,False,False,True,True,False,False,False
28,106395,17379,496,118,1,4.35,12,0.37,3,0,1,1,0,True,False,False,False,True,True,False,False,False
54,42254,102904,537,37,3,17.21,36,0.83,0,0,0,0,0,True,False,False,False,False,False,False,False,True
25,132639,247811,670,113,2,14.57,24,0.68,1,0,1,0,0,False,False,True,False,True,True,False,False,False
57,135981,107186,472,86,3,24.79,36,0.67,1,1,1,1,0,False,False,False,False,False,False,False,False,False
59,128139,212551,581,65,2,17.96,60,0.35,3,1,0,1,0,False,True,False,True,False,False,True,False,False
23,53530,221639,813,66,3,5.03,12,0.78,3,1,0,0,0,False,True,False,True,False,False,True,False,False
68,70884,22500,410,58,2,2.2,48,0.43,0,0,0,0,0,False,True,False,False,False,False,True,False,False
21,28154,93562,561,96,2,19.82,12,0.22,0,1,1,1,0,True,False,False,True,False,False,False,False,False
51,130174,164823,749,11,3,15.93,60,0.56,2,1,0,0,0,True,False,False,False,False,False,False,True,False
66,136641,140581,378,33,2,3.89,12,0.78,2,0,0,1,0,False,True,False,False,True,False,True,False,False
45,95183,212267,346,32,4,17.48,24,0.15,3,0,1,1,0,False,False,False,True,False,False,False,False,False
59,125409,25765,678,112,4,7.16,48,0.36,2,1,0,1,0,False,False,False,True,False,False,True,False,False
34,67165,28033,655,62,1,10.92,24,0.42,3,0,0,1,0,False,True,False,False,False,False,False,False,False
35,21024,37330,749,70,3,6.37,24,0.49,2,0,0,0,1,False,False,False,False,True,False,False,True,False
57,73236,148827,514,36,1,20.43,24,0.19,1,1,0,1,0,True,False,False,True,False,False,False,False,True
27,44554,218653,506,88,2,24.6,24,0.68,2,1,0,0,0,False,False,False,False,True,False,False,False,False
42,107081,30932,800,94,1,19.48,48,0.31,2,1,1,0,0,True,False,False,False,True,False,False,True,False
67,100763,208795,734,26,3,24.89,36,0.21,2,1,0,1,0,True,False,False,True,False,False,False,False,False
40,81932,200551,464,23,1,3.31,60,0.24,3,0,0,0,0,True,False,False,False,False,True,False,False,False
69,51191,191068,604,71,2,9.71,48,0.71,0,1,0,1,0,False,False,True,True,False,True,False,False,False
45,135126,209626,648,88,3,11.59,48,0.47,0,0,1,0,0,True,False,False,False,False,False,False,False,True
40,137250,113525,785,39,2,16.51,24,0.5,3,1,0,1,0,True,False,False,False,False,False,False,True,False
58,98000,161769,700,111,3,6.87,36,0.58,3,1,0,0,0,True,False,False,False,True,False,True,False,False
69,43565,41913,671,96,3,15.09,24,0.14,3,0,0,1,0,False,False,False,False,True,False,True,False,False
65,138931,248834,558,89,4,15.36,60,0.18,1,0,1,0,0,True,False,False,False,True,False,False,False,False
37,27134,140336,350,113,1,19.44,60,0.62,2,1,1,1,0,False,False,False,True,False,False,False,False,False
21,139565,196194,398,87,3,10.18,24,0.46,1,0,0,1,0,False,False,True,False,False,False,False,False,True
64,122497,52748,312,27,1,17.01,36,0.17,1,1,1,1,0,True,False,False,False,True,False,True,False,False
37,16767,164820,479,45,1,20.4,36,0.6,0,0,1,1,0,True,False,False,False,False,True,False,False,False
69,47919,246613,803,71,3,3.54,36,0.25,2,1,1,0,0,False,False,False,False,True,False,False,True,False
22,52526,46649,423,53,2,11.89,36,0.65,1,0,0,0,1,False,False,True,False,True,False,False,False,True
45,32129,77653,763,88,2,2.68,24,0.31,3,1,0,0,0,True,False,False,False,False,False,False,False,True
50,78024,97502,815,62,2,22.11,36,0.59,2,0,1,1,0,True,False,False,False,False,False,False,False,True
61,31036,161249,417,18,3,24.97,36,0.54,0,0,1,1,0,False,True,False,True,False,False,False,False,False
34,25428,240148,437,99,1,4.01,48,0.5,3,1,1,1,0,False,False,True,True,False,False,False,True,False
